0 196.9719 1491.5026
1 280.8257 1619.6710
2 365.4182 1333.6909
3 404.1973 1018.2806
4 410.3455 704.7872
5 350.0319 449.5464
6 273.7717 280.6185
7 103.3068 175.2962
8 42.0782 118.4410
9 178.9814 96.2620
10 228.7405 82.9166
11 274.2314 75.7906
12 295.1996 72.3824
13 300.4283 69.4832
14 284.9175 69.6380
15 271.7979 64.9444
16 267.0128 63.3470
17 255.3475 61.3309
18 225.3895 59.4546
19 234.4945 57.8725
20 220.8414 55.6112
21 216.7299 54.2611
22 216.7365 53.7495
23 203.2850 52.8471
24 165.4830 50.2997
25 157.8201 50.4652
26 153.8088 49.2537
27 171.6416 50.6310
28 171.4701 49.1080
29 170.0513 51.6799
30 183.7625 50.5174
31 188.4453 51.0658
32 183.5423 52.3048
33 170.3948 51.6667
34 168.9629 52.5776
35 146.3598 52.8097
36 157.9712 51.0085
37 150.9074 51.3809
38 156.8072 52.6229
39 156.7247 51.8539
40 155.9459 52.4868
41 140.4390 54.0684
42 122.3979 53.3545
43 113.4150 53.2533
44 95.6710 54.7158
45 92.5382 52.7844
46 92.1484 52.8061
47 103.0207 53.7654
48 89.2864 53.3133
49 79.2118 52.2648
50 69.1223 51.2498
51 70.4279 51.3691
52 81.6319 50.1700
53 73.1714 51.6434
54 52.8322 49.0981
55 58.6145 51.1207
56 55.1639 51.6870
57 43.3190 49.3226
58 43.1966 50.9995
59 39.3980 49.7303
60 44.4931 51.0840
61 29.9662 51.7408
62 24.0325 52.4534
63 22.5837 52.3231
64 31.3721 50.2505
65 14.7219 50.6823
66 31.3506 51.6438
67 16.2181 49.1643
68 20.3695 51.2270
69 28.6944 48.5687
70 22.9199 47.4180
